Metabolite	proportion_medium	medium	SampleName	Compartment	Conc	unit
EX_cpd00009_e0	100	wheat	Wheat11-1	Duodenum	0.000266395709261139	mM
EX_cpd00009_e0	100	wheat	Wheat11-2	Duodenum	0.000267296465202515	mM
EX_cpd00009_e0	100	wheat	Wheat11-3	Duodenum	0.000274851469745499	mM
EX_cpd00009_e0	100	wheat	Wheat9-1	Duodenum	0.000286266030303077	mM
EX_cpd00009_e0	100	wheat	Wheat9-2	Duodenum	0.000285724478190798	mM
EX_cpd00009_e0	100	corn	Corn10-1	Gizzard	0.000120750106222995	mM
EX_cpd00009_e0	100	corn	Corn10-2	Gizzard	0.000121053507020342	mM
EX_cpd00009_e0	100	corn	Corn5-1	Gizzard	0.000129614641368057	mM
EX_cpd00009_e0	100	corn	Corn5-2	Gizzard	0.00012910030329738	mM
EX_cpd00009_e0	100	corn	Corn5-3	Gizzard	0.000128196621752092	mM
EX_cpd00009_e0	100	wheat	Wheat11-1	Gizzard	0.00014060170054456	mM
EX_cpd00009_e0	100	wheat	Wheat11-2	Gizzard	0.000139049814363432	mM
EX_cpd00009_e0	100	wheat	Wheat11-3	Gizzard	0.000142277582065144	mM
EX_cpd00009_e0	100	wheat	Wheat9-1	Gizzard	0.000139830003009633	mM
EX_cpd00009_e0	100	wheat	Wheat9-2	Gizzard	0.000139428708263067	mM
EX_cpd00009_e0	100	corn	Corn10-1	Ileum	0.00133028013872193	mM
EX_cpd00009_e0	100	corn	Corn10-2	Ileum	0.00131848683939501	mM
EX_cpd00009_e0	100	corn	Corn5-1	Ileum	0.00127879030461777	mM
EX_cpd00009_e0	100	corn	Corn5-2	Ileum	0.00125713732078396	mM
EX_cpd00009_e0	100	corn	Corn5-3	Ileum	0.00124230237573033	mM
EX_cpd00009_e0	100	wheat	Wheat11-1	Ileum	0.00116663973694851	mM
EX_cpd00009_e0	100	wheat	Wheat11-2	Ileum	0.00112715719801922	mM
EX_cpd00009_e0	100	wheat	Wheat11-3	Ileum	0.00123914313175064	mM
EX_cpd00009_e0	100	wheat	Wheat9-1	Ileum	0.00136855593383198	mM
EX_cpd00009_e0	100	wheat	Wheat9-2	Ileum	0.00134633447010698	mM
EX_cpd00009_e0	100	corn	Corn10-1	Jejunum	0.000850177513755354	mM
EX_cpd00009_e0	100	corn	Corn10-2	Jejunum	0.000859105448190525	mM
EX_cpd00009_e0	100	corn	Corn5-1	Jejunum	0.00077397058771805	mM
EX_cpd00009_e0	100	corn	Corn5-2	Jejunum	0.0007555678110192	mM
EX_cpd00009_e0	100	corn	Corn5-3	Jejunum	0.000782944025779613	mM
EX_cpd00009_e0	100	wheat	Wheat11-1	Jejunum	0.000777796937582861	mM
EX_cpd00009_e0	100	wheat	Wheat11-2	Jejunum	0.000774624199795507	mM
EX_cpd00009_e0	100	wheat	Wheat11-3	Jejunum	0.000814719364944762	mM
EX_cpd00009_e0	100	wheat	Wheat9-1	Jejunum	0.00087159019392517	mM
EX_cpd00009_e0	100	wheat	Wheat9-2	Jejunum	0.000861600821157677	mM
EX_cpd00010_e0	100	corn	Corn10-1	Cecum	6.04358835199682e-08	mM
EX_cpd00010_e0	100	corn	Corn10-2	Cecum	7.87941579593621e-08	mM
EX_cpd00010_e0	100	corn	Corn5-1	Cecum	2.36650175150336e-08	mM
EX_cpd00010_e0	100	corn	Corn5-2	Cecum	4.35454757572264e-09	mM
EX_cpd00010_e0	100	corn	Corn5-3	Cecum	2.76650015331208e-08	mM
EX_cpd00010_e0	100	wheat	Wheat11-1	Cecum	1.54986097554329e-10	mM
EX_cpd00010_e0	100	wheat	Wheat11-2	Cecum	6.02104382475736e-10	mM
EX_cpd00010_e0	100	wheat	Wheat11-3	Cecum	4.77369746756666e-10	mM
EX_cpd00010_e0	100	wheat	Wheat9-1	Cecum	3.14611195294587e-08	mM
EX_cpd00010_e0	100	wheat	Wheat9-2	Cecum	9.36744193014202e-08	mM
EX_cpd00010_e0	100	corn	Corn10-1	Colon	1.0221322148095e-07	mM
EX_cpd00010_e0	100	corn	Corn10-2	Colon	1.59399254520645e-07	mM
EX_cpd00010_e0	100	corn	Corn5-1	Colon	3.94938410015032e-08	mM
EX_cpd00010_e0	100	corn	Corn5-2	Colon	2.95084498881994e-08	mM
EX_cpd00010_e0	100	corn	Corn5-3	Colon	1.57232869901165e-08	mM
EX_cpd00010_e0	100	wheat	Wheat11-1	Colon	2.65608319073691e-09	mM
EX_cpd00010_e0	100	wheat	Wheat11-2	Colon	1.63129886973957e-09	mM
EX_cpd00010_e0	100	wheat	Wheat11-3	Colon	4.24139464681219e-09	mM
EX_cpd00010_e0	100	wheat	Wheat9-1	Colon	5.06113148077622e-08	mM
EX_cpd00010_e0	100	wheat	Wheat9-2	Colon	5.8233500516087e-08	mM
EX_cpd00010_e0	100	corn	Corn10-1	Duodenum	2.52266441191875e-09	mM
EX_cpd00010_e0	100	corn	Corn10-2	Duodenum	3.45345412436658e-09	mM
EX_cpd00010_e0	100	corn	Corn5-1	Duodenum	2.53071607634374e-08	mM
EX_cpd00010_e0	100	corn	Corn5-2	Duodenum	8.466514988482e-09	mM
EX_cpd00010_e0	100	corn	Corn5-3	Duodenum	9.34080025273493e-10	mM
EX_cpd00010_e0	100	wheat	Wheat11-1	Duodenum	9.97082086065379e-10	mM
EX_cpd00010_e0	100	wheat	Wheat11-2	Duodenum	1.0585726269688e-09	mM
EX_cpd00010_e0	100	wheat	Wheat11-3	Duodenum	1.49109419275541e-09	mM
EX_cpd00010_e0	100	wheat	Wheat9-1	Duodenum	2.41315062463987e-09	mM
EX_cpd00010_e0	100	wheat	Wheat9-2	Duodenum	1.92527896082645e-09	mM
EX_cpd00010_e0	100	corn	Corn10-1	Gizzard	2.75998241335186e-10	mM
EX_cpd00010_e0	100	corn	Corn10-2	Gizzard	9.28527722368592e-10	mM
EX_cpd00010_e0	100	corn	Corn5-1	Gizzard	1.66284492765821e-09	mM
EX_cpd00010_e0	100	corn	Corn5-2	Gizzard	6.42336083966398e-09	mM
